Date, Open, High, Low, Close
02/03/10, 10291.73, 10307.20, 10231.93, 10270.55
02/02/10, 10186.13, 10314.84, 10173.59, 10296.85
02/01/10, 10068.99, 10190.89, 10068.91, 10185.53
01/29/10, 10122.04, 10239.34, 10043.75, 10067.33
01/28/10, 10236.92, 10258.83, 10055.08, 10120.46
01/27/10, 10194.29, 10255.06, 10104.36, 10236.16
01/26/10, 10195.35, 10285.13, 10155.60, 10194.29
01/25/10, 10175.10, 10256.87, 10171.77, 10196.86
01/22/10, 10389.58, 10389.58, 10157.64, 10172.98
01/21/10, 10603.91, 10614.94, 10374.69, 10389.88
01/20/10, 10719.69, 10719.92, 10517.30, 10603.15
01/19/10, 10608.37, 10729.89, 10591.97, 10725.43
01/15/10, 10706.99, 10709.94, 10561.06, 10609.65
01/14/10, 10680.16, 10723.77, 10666.86, 10710.55
01/13/10, 10628.09, 10709.26, 10614.49, 10680.77
01/12/10, 10662.86, 10663.08, 10568.84, 10627.26
01/11/10, 10620.31, 10676.23, 10591.59, 10663.99
01/08/10, 10606.40, 10619.40, 10554.33, 10618.19
01/07/10, 10571.11, 10612.37, 10505.21, 10606.86
01/06/10, 10564.72, 10594.99, 10546.55, 10573.68
01/05/10, 10584.56, 10584.56, 10522.52, 10572.02
01/04/10, 10430.69, 10604.97, 10430.69, 10583.96
12/31/09, 10548.51, 10555.01, 10423.13, 10428.05
12/30/09, 10544.36, 10550.70, 10505.66, 10548.51
12/29/09, 10547.83, 10580.33, 10544.28, 10545.41
12/28/09, 10517.91, 10551.61, 10506.34, 10547.08
12/24/09, 10467.12, 10522.06, 10461.68, 10520.10
12/23/09, 10464.32, 10492.06, 10437.80, 10466.44
12/22/09, 10414.67, 10479.82, 10414.59, 10464.93
12/21/09, 10330.10, 10458.05, 10329.80, 10414.14
12/18/09, 10309.39, 10372.35, 10263.90, 10328.89
12/17/09, 10439.99, 10440.06, 10307.96, 10308.26
12/16/09, 10449.81, 10509.97, 10427.59, 10441.12
12/15/09, 10499.31, 10499.31, 10426.69, 10452.00
12/14/09, 10471.28, 10514.66, 10471.28, 10501.05
12/11/09, 10403.41, 10484.05, 10400.08, 10471.50
12/10/09, 10336.00, 10444.60, 10335.77, 10405.83
12/09/09, 10282.85, 10342.27, 10235.63, 10337.05
12/08/09, 10385.42, 10385.65, 10249.84, 10285.97
12/07/09, 10386.86, 10443.16, 10360.18, 10390.11
12/04/09, 10368.57, 10516.70, 10311.81, 10388.90
12/03/09, 10455.63, 10507.63, 10350.05, 10366.15
12/02/09, 10470.44, 10513.52, 10421.47, 10452.68
12/01/09, 10343.82, 10501.28, 10343.44, 10471.58
11/30/09, 10309.77, 10364.34, 10263.29, 10344.84
11/27/09, 10452.23, 10452.23, 10231.25, 10309.92
11/25/09, 10432.96, 10481.48, 10420.94, 10464.40
11/24/09, 10451.25, 10453.97, 10359.58, 10433.71
11/23/09, 10320.13, 10495.61, 10320.05, 10450.95
11/20/09, 10327.91, 10342.72, 10271.68, 10318.16
11/19/09, 10425.33, 10425.33, 10256.11, 10332.44
11/18/09, 10426.27, 10432.66, 10360.10, 10426.31
11/17/09, 10404.77, 10438.17, 10361.99, 10437.42
11/16/09, 10267.53, 10434.24, 10267.45, 10406.96
11/13/09, 10197.85, 10305.69, 10192.03, 10270.47
11/12/09, 10289.82, 10321.64, 10171.24, 10197.47
11/11/09, 10247.42, 10341.97, 10246.14, 10291.26
11/10/09, 10223.01, 10260.80, 10197.69, 10246.97
11/09/09, 10020.62, 10228.23, 10020.62, 10226.94
11/06/09, 10001.35, 10044.50, 9936.81, 10023.42
11/05/09, 9807.80, 10013.07, 9807.80, 10005.96
11/04/09, 9767.30, 9928.04, 9767.14, 9802.14
11/03/09, 9787.47, 9787.47, 9703.89, 9771.91
11/02/09, 9712.13, 9858.59, 9678.95, 9789.44
10/30/09, 9961.52, 9962.13, 9684.54, 9712.73
10/29/09, 9762.91, 9969.91, 9759.13, 9962.58
10/28/09, 9881.11, 9902.42, 9758.08, 9762.69
10/27/09, 9868.34, 9947.54, 9837.96, 9882.17
10/26/09, 9972.33, 10072.32, 9849.45, 9867.96
10/23/09, 10099.90, 10109.57, 9932.50, 9972.18
10/22/09, 9946.18, 10105.19, 9916.78, 10081.31
10/21/09, 10038.84, 10119.47, 9943.76, 9949.36
10/20/09, 10092.42, 10098.39, 9992.81, 10041.48
10/19/09, 9996.67, 10117.96, 9995.15, 10092.19
10/16/09, 10061.36, 10061.66, 9939.91, 9995.91
10/15/09, 10014.88, 10062.94, 9977.47, 10062.94
10/14/09, 9873.55, 10027.73, 9873.48, 10015.86
10/13/09, 9883.98, 9895.09, 9815.06, 9871.06
10/12/09, 9865.24, 9931.82, 9849.37, 9885.80
10/09/09, 9786.04, 9865.01, 9764.88, 9864.94
10/08/09, 9728.22, 9836.67, 9728.07, 9786.87
10/07/09, 9725.69, 9740.32, 9675.62, 9725.58
10/06/09, 9601.26, 9774.32, 9601.26, 9731.25
10/05/09, 9488.73, 9625.06, 9481.09, 9599.75
10/02/09, 9507.62, 9524.78, 9430.08, 9487.67
10/01/09, 9711.60, 9711.67, 9500.37, 9509.28
09/30/09, 9741.83, 9776.82, 9608.59, 9712.28
09/29/09, 9789.74, 9834.48, 9739.11, 9742.20
09/28/09, 9663.23, 9823.67, 9663.23, 9789.36
09/25/09, 9706.68, 9735.93, 9641.01, 9665.19
09/24/09, 9749.99, 9805.39, 9666.03, 9707.44
09/23/09, 9830.63, 9917.99, 9740.84, 9748.55
09/22/09, 9779.61, 9843.40, 9771.91, 9829.87
09/21/09, 9818.61, 9818.69, 9725.88, 9778.86
09/18/09, 9784.75, 9847.71, 9784.68, 9820.20
09/17/09, 9789.82, 9854.58, 9749.46, 9783.92
09/16/09, 9683.71, 9799.72, 9679.18, 9791.71
09/15/09, 9626.42, 9713.71, 9580.93, 9683.41
09/14/09, 9598.08, 9631.11, 9535.96, 9626.80
09/11/09, 9625.44, 9649.85, 9571.56, 9605.41
09/10/09, 9546.54, 9633.00, 9508.22, 9627.48
09/09/09, 9496.59, 9577.22, 9476.18, 9547.22
09/08/09, 9440.13, 9511.02, 9439.98, 9497.34
09/04/09, 9345.36, 9445.72, 9321.63, 9441.27
09/03/09, 9282.03, 9350.27, 9252.93, 9344.61
09/02/09, 9306.21, 9330.93, 9262.30, 9280.67
09/01/09, 9492.32, 9557.95, 9292.08, 9310.60
08/31/09, 9542.91, 9543.06, 9436.13, 9496.28
08/28/09, 9582.74, 9630.20, 9495.98, 9544.20
08/27/09, 9541.63, 9609.72, 9459.40, 9580.63
08/26/09, 9538.61, 9582.97, 9485.78, 9543.52
08/25/09, 9509.21, 9620.00, 9508.98, 9539.29
08/24/09, 9506.18, 9587.73, 9486.23, 9509.28
08/21/09, 9347.86, 9519.11, 9347.25, 9505.96
08/20/09, 9278.55, 9363.95, 9267.97, 9350.05
08/19/09, 9208.68, 9313.09, 9131.94, 9279.16
08/18/09, 9134.36, 9233.51, 9134.36, 9217.94
08/17/09, 9313.85, 9313.85, 9116.52, 9135.34
08/14/09, 9398.04, 9401.97, 9232.83, 9321.40
08/13/09, 9362.29, 9406.50, 9305.31, 9398.19
08/12/09, 9236.06, 9424.11, 9221.02, 9361.61
08/11/09, 9334.33, 9334.33, 9216.88, 9241.45
08/10/09, 9368.41, 9371.96, 9290.34, 9337.95
08/07/09, 9258.45, 9437.71, 9258.45, 9370.07
08/06/09, 9277.19, 9325.11, 9208.80, 9256.26
08/05/09, 9315.36, 9318.08, 9206.45, 9280.97
08/04/09, 9285.05, 9321.10, 9250.74, 9320.19
08/03/09, 9173.65, 9298.43, 9173.65, 9286.56
07/31/09, 9154.61, 9218.77, 9133.45, 9171.61
07/30/09, 9072.84, 9246.43, 9072.61, 9154.46
07/29/09, 9092.34, 9094.83, 9014.19, 9070.72
07/28/09, 9106.92, 9124.91, 9007.47, 9096.72
07/27/09, 9093.09, 9123.40, 9034.52, 9108.51
07/24/09, 9066.11, 9100.88, 9007.39, 9093.24
07/23/09, 8882.31, 9096.72, 8866.44, 9069.29
07/22/09, 8912.39, 8949.80, 8860.32, 8881.26
07/21/09, 8848.15, 8927.13, 8811.27, 8915.94
07/20/09, 8746.05, 8854.80, 8745.90, 8848.15
07/17/09, 8711.89, 8754.29, 8674.41, 8743.94
07/16/09, 8612.66, 8739.55, 8584.40, 8711.82
07/15/09, 8363.95, 8628.23, 8363.95, 8616.21
07/14/09, 8331.37, 8361.23, 8285.20, 8359.49
07/13/09, 8146.82, 8331.68, 8130.42, 8331.68
07/10/09, 8182.49, 8183.85, 8093.31, 8146.52
07/09/09, 8179.01, 8228.67, 8145.31, 8183.17
07/08/09, 8157.02, 8219.52, 8087.19, 8178.41
07/07/09, 8324.95, 8326.31, 8154.38, 8163.60
07/06/09, 8279.30, 8327.97, 8205.99, 8324.87
07/02/09, 8503.00, 8503.23, 8280.74, 8280.74
07/01/09, 8447.53, 8580.47, 8447.53, 8504.06
06/30/09, 8528.93, 8560.44, 8393.95, 8447.00
06/29/09, 8440.13, 8533.23, 8429.09, 8529.38
06/26/09, 8468.54, 8468.77, 8401.36, 8438.39
06/25/09, 8299.25, 8490.46, 8259.43, 8472.40
06/24/09, 8323.51, 8428.41, 8259.88, 8299.86
06/23/09, 8340.44, 8370.90, 8286.41, 8322.91
06/22/09, 8538.52, 8538.83, 8334.55, 8339.01
06/19/09, 8556.96, 8616.59, 8496.73, 8539.73
06/18/09, 8496.73, 8590.52, 8475.12, 8555.60
06/17/09, 8504.36, 8563.01, 8461.29, 8497.18
06/16/09, 8612.44, 8643.65, 8499.38, 8504.67
06/15/09, 8798.50, 8798.50, 8577.90, 8612.13
06/12/09, 8770.01, 8805.53, 8716.73, 8799.26
06/11/09, 8736.23, 8877.93, 8736.23, 8770.92
06/10/09, 8763.66, 8834.93, 8639.95, 8739.02
06/09/09, 8764.83, 8803.26, 8725.12, 8763.06
06/08/09, 8759.35, 8823.97, 8633.07, 8764.49
06/05/09, 8751.75, 8839.40, 8700.41, 8763.13
06/04/09, 8665.72, 8751.25, 8634.57, 8750.24
06/03/09, 8740.07, 8740.39, 8598.38, 8675.28
06/02/09, 8721.60, 8787.13, 8693.72, 8740.87
06/01/09, 8501.53, 8760.70, 8501.29, 8721.44
05/29/09, 8404.04, 8522.95, 8368.52, 8500.33
05/28/09, 8300.50, 8434.62, 8246.58, 8403.80
05/27/09, 8473.65, 8496.59, 8289.35, 8300.02
05/26/09, 8275.33, 8495.71, 8226.90, 8473.49
05/22/09, 8292.21, 8364.14, 8257.17, 8277.32
05/21/09, 8416.07, 8416.15, 8221.01, 8292.13
05/20/09, 8471.82, 8591.93, 8405.47, 8422.04
05/19/09, 8502.48, 8538.01, 8463.54, 8474.85
05/18/09, 8270.15, 8511.88, 8270.15, 8504.08
05/15/09, 8326.22, 8394.96, 8230.17, 8268.64
